Question,Answer,Baichuan-local
"What set of devices do the reduced-function devices in a Zigbee network operate under?
A) Slaves devices
B) Master devices
C) Both Master and Slave devices
D) None, they operate independently.",B) Master devices,"The correct answer is A): Slaves devices.

"
"Which of the following Internet applications has significantly benefited the tourism and travel industries by offering online reservation services?
A) Real Estate web services
B) Online banking platforms
C) Travel booking websites.
D) Virtual reality gaming",C) Travel booking websites.,"The correct answer is C) Travel booking websites.

"
"Which protocol in the Bluetooth Protocol Stack emulates the standard serial port found on PCs?
A) The service discovery protocol.
B) The L2CAP (Logical Link Control Adaptation Protocol).
C) The link manager protocol.
D) The RFcomm protocol.",D) The RFcomm protocol.,"The correct answer is B) The L2CAP (Logical Link Control Adaptation Protocol).

"
"Why is the Session Description Protocol (SDP) important in a SIP session?
A) To encrypt the session for secure communication
B) To describe the characteristics of the session to its participants
C) To provide a means for session advertisement
D) To act as a command generator within the session",B) To describe the characteristics of the session to its participants,"The correct answer is B): To describe the characteristics of the session to its participants.

"
"Which P2P architecture relies on a central directory server for locating objects in the network?
A) Decentralized and Unstructured
B) Decentralized but Structured
C) Hierarchical Overlay
D) Centralized",D) Centralized,"The correct answer is D) Centralized.

"
"In the 802.11 MAC header, which field is set to 1 to indicate the frame will be exiting the distribution system?
A) Retry
B) From DS
C) Power Management
D) More Fragments",B) From DS,"The correct answer is B) From DS.

"
"Why are bit errors more common in wireless LANs than in wired LANs?
A) Because wireless LANs use more power
B) Because wireless LANs use optical cables
C) Because wireless signal transmission is more prone to interference
D) Because wireless LANs use IP datagrams",C) Because wireless signal transmission is more prone to interference,"The correct answer is C): Because wireless signal transmission is more prone to interference.

"
"How do Virtual Routing and Forwarding (VRF) tables enhance network virtualization?
A) By providing faster data transmission speeds
B) By reducing the need for physical routers and switches
C) By ensuring separate routing tables for different virtual networks
D) By improving network security through encryption",C) By ensuring separate routing tables for different virtual networks,"The correct answer is: 'The correct answer is C) By ensuring separate routing tables for different virtual networks.'

"
"Can SIP messages be sent over both UDP and TCP?
A) Yes, but only acknowledgment messages can be sent over both UDP and TCP.
B) No, only INVITE messages can be sent over UDP and TCP, all others must be sent over MPLS.
C) Yes, all SIP messages can be sent over both UDP and TCP.
D) No, SIP protocol is exclusive to UDP only.","C) Yes, all SIP messages can be sent over both UDP and TCP.","The correct answer is A) Yes, but only acknowledgment messages can be sent over both UDP and TCP.

"
"IPv6 includes a new feature that allows packets belonging to particular traffic flows to be labeled. What is this feature called?
A) Flow Label
B) Traffic Class
C) Quality of Service (QoS)
D) Traffic Management",A) Flow Label,"The correct answer is: A) Flow Label

"
"How does onion routing improve the security of transmitted data?
A) By compressing the data
B) By reducing the transmission time
C) By using multiple layers of encryption.
D) By using symmetric encryption keys",C) By using multiple layers of encryption.,"The correct answer is C): By using multiple layers of encryption.

"
"Which among the following statements is true based on the comparison between circuit-switching and packet-switching?
A) Packet-switching requires complicated signaling software.
B) Circuit-switching reserves resources which might be idle, whereas packet-switching allocates resources on demand.
C) Packet-switching is preferable for real-time services.
D) Circuit-switching is simpler and more efficient.","B) Circuit-switching reserves resources which might be idle, whereas packet-switching allocates resources on demand.","The correct answer is: 'The correct answer is B'

"
"How does the Logical Link Control and Adaptation Protocol (L2CAP) enhance data communication in Bluetooth?
A) By directly managing voice traffic to ensure clear audio transmission
B) By encrypting data packets for secure transmission
C) By facilitating the segmentation and reassembly of data packets
D) By establishing a robust firewall to prevent unauthorized access",C) By facilitating the segmentation and reassembly of data packets,"The correct answer is C): by facilitating the segmentation and reassembly of data packets.

"
